[i] Train : 24379
[i] Valid : 2709
[i] pred_bboxes_op : Tensor("concat:0", shape=(8, 54560, 4), dtype=float32)
[i] pred_classes_op : Tensor("concat_1:0", shape=(8, 54560, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(8, 54560, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(8, 54560, 21), dtype=float32)
[i] max_iteration : 304700
[i] decay_iteration : [152350 228525]
[i] iter : 2250, loss : 48.6290, focal_loss : 0.7434, giou_loss : 0.3076, l2_reg_loss : 47.5780, train_time : 37sec
[i] iter : 2300, loss : 48.4777, focal_loss : 0.7423, giou_loss : 0.3019, l2_reg_loss : 47.4335, train_time : 38sec
[i] iter : 2350, loss : 48.3088, focal_loss : 0.7092, giou_loss : 0.3107, l2_reg_loss : 47.2889, train_time : 38sec
[i] iter : 2400, loss : 48.1735, focal_loss : 0.7253, giou_loss : 0.3036, l2_reg_loss : 47.1446, train_time : 38sec
[i] iter : 2450, loss : 48.0777, focal_loss : 0.7793, giou_loss : 0.2948, l2_reg_loss : 47.0037, train_time : 37sec
[i] iter : 2500, loss : 47.9094, focal_loss : 0.7420, giou_loss : 0.3059, l2_reg_loss : 46.8615, train_time : 38sec
[i] iter : 2550, loss : 47.7385, focal_loss : 0.7197, giou_loss : 0.3000, l2_reg_loss : 46.7188, train_time : 38sec
[i] iter : 2600, loss : 47.5582, focal_loss : 0.6864, giou_loss : 0.2952, l2_reg_loss : 46.5765, train_time : 37sec
[i] iter : 2650, loss : 47.4250, focal_loss : 0.6986, giou_loss : 0.2919, l2_reg_loss : 46.4345, train_time : 37sec
[i] iter : 2700, loss : 47.2683, focal_loss : 0.6856, giou_loss : 0.2901, l2_reg_loss : 46.2926, train_time : 38sec
[i] iter : 2750, loss : 47.1643, focal_loss : 0.7222, giou_loss : 0.2910, l2_reg_loss : 46.1511, train_time : 38sec
[i] iter : 2800, loss : 46.9956, focal_loss : 0.6987, giou_loss : 0.2870, l2_reg_loss : 46.0099, train_time : 37sec
[i] iter : 2850, loss : 46.8445, focal_loss : 0.6818, giou_loss : 0.2939, l2_reg_loss : 45.8687, train_time : 38sec
[i] iter : 2900, loss : 46.6862, focal_loss : 0.6736, giou_loss : 0.2845, l2_reg_loss : 45.7282, train_time : 38sec
[i] iter : 2950, loss : 46.5537, focal_loss : 0.6773, giou_loss : 0.2885, l2_reg_loss : 45.5879, train_time : 37sec
[i] iter : 3000, loss : 46.4186, focal_loss : 0.6881, giou_loss : 0.2824, l2_reg_loss : 45.4481, train_time : 37sec
[i] iter : 3050, loss : 46.2760, focal_loss : 0.6798, giou_loss : 0.2869, l2_reg_loss : 45.3093, train_time : 38sec
[i] iter : 3100, loss : 46.1929, focal_loss : 0.7281, giou_loss : 0.2926, l2_reg_loss : 45.1722, train_time : 38sec
[i] iter : 3150, loss : 46.0101, focal_loss : 0.6899, giou_loss : 0.2858, l2_reg_loss : 45.0343, train_time : 38sec
[i] iter : 3200, loss : 45.8021, focal_loss : 0.6332, giou_loss : 0.2727, l2_reg_loss : 44.8963, train_time : 37sec
[i] iter : 3250, loss : 45.7321, focal_loss : 0.6948, giou_loss : 0.2782, l2_reg_loss : 44.7592, train_time : 38sec
